Jun 20 07:20:18 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/11, changed state to up
Jun 20 07:20:19 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/11, changed state to up
Jun 20 07:20:19 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/18, changed state to down
Jun 20 07:20:20 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/18, changed state to down
Jun 20 07:20:20 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/19, changed state to up
Jun 20 07:20:21 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/19, changed state to up
Jun 20 07:20:22 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/18, changed state to up
Jun 20 07:20:22 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/18, changed state to up
Jun 20 07:20:24 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/23, changed state to down
Jun 20 07:20:25 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/23, changed state to down
Jun 20 07:20:25 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/22, changed state to up
Jun 20 07:20:27 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/22, changed state to up
Jun 20 07:20:27 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/24, changed state to up
Jun 20 07:20:27 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/23, changed state to up
Jun 20 07:20:27 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/21, changed state to down
Jun 20 07:20:28 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/20, changed state to up
Jun 20 07:20:28 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/24, changed state to up
Jun 20 07:20:28 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/23, changed state to up
Jun 20 07:20:28 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/21, changed state to down
Jun 20 07:20:28 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/20, changed state to up
Jun 20 07:20:29 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/15, changed state to up
Jun 20 07:20:29 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/15, changed state to up
Jun 20 07:20:31 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/25, changed state to up
Jun 20 07:20:31 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/21, changed state to up
Jun 20 07:20:32 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/19, changed state to down
Jun 20 07:20:32 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/22, changed state to down
Jun 20 07:20:32 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/25, changed state to up
Jun 20 07:20:32 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/21, changed state to up
Jun 20 07:20:33 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/19, changed state to down
Jun 20 07:20:33 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/22, changed state to down
Jun 20 07:20:34 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/18, changed state to down
Jun 20 07:20:34 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/20, changed state to down
Jun 20 07:20:35 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/18, changed state to down
Jun 20 07:20:35 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/20, changed state to down
Jun 20 07:20:35 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/19, changed state to up
Jun 20 07:20:36 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/25, changed state to down
Jun 20 07:20:36 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/19, changed state to up
Jun 20 07:20:37 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/25, changed state to down
Jun 20 07:20:37 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/18, changed state to up
Jun 20 07:20:37 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/20, changed state to up
Jun 20 07:20:38 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/18, changed state to up
Jun 20 07:20:38 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/20, changed state to up
Jun 20 07:20:39 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/22, changed state to up
Jun 20 07:20:39 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/25, changed state to up
Jun 20 07:20:39 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/22, changed state to up
Jun 20 07:20:41 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/24, changed state to down
Jun 20 07:20:41 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/25, changed state to up
Jun 20 07:20:42 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/24, changed state to down
Jun 20 07:20:47 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/24, changed state to up
Jun 20 07:20:47 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/24, changed state to up
Jun 20 07:20:48 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/22, changed state to down
Jun 20 07:20:49 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/22, changed state to down
Jun 20 07:20:50 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/20, changed state to down
Jun 20 07:20:51 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/20, changed state to down
Jun 20 07:20:51 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/25, changed state to down
Jun 20 07:20:52 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/22, changed state to up
Jun 20 07:20:52 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/25, changed state to down
Jun 20 07:20:52 145.89.194.11 15w3d: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet0/22, changed state to up
Jun 20 07:20:54 145.89.194.11 15w3d: %LINK-3-UPDOWN: Interface GigabitEthernet0/20, changed state to up
